,State,Month,Predicted Value,Value,State_encoded,Error,Absolute Error,Squared Error
0,Alabama,3,28.796426343438302,15.6,0,13.196426343438302,13.196426343438302,174.1456682377924
1,Alabama,3,28.796426343438302,18.0,0,10.796426343438302,10.796426343438302,116.56282178928855
2,Alabama,3,28.796426343438302,23.0,0,5.796426343438302,5.796426343438302,33.59855835490553
3,Alabama,4,28.9709135496911,14.7,0,14.270913549691102,14.270913549691102,203.65897354275708
4,Alabama,4,28.9709135496911,18.8,0,10.1709135496911,10.1709135496911,103.44748243529001
5,Alabama,4,28.9709135496911,20.9,0,8.070913549691102,8.070913549691102,65.13964552658743
6,Alabama,5,29.145400755943896,16.2,0,12.945400755943897,12.945400755943897,167.5834007319928
7,Alabama,5,29.145400755943896,19.2,0,9.945400755943897,9.945400755943897,98.91099619632944
8,Alabama,5,29.145400755943896,23.5,0,5.645400755943896,5.645400755943896,31.870549695211917
9,Alabama,6,29.31988796219669,14.6,0,14.719887962196692,14.719887962196692,216.6751016196231
10,Alabama,6,29.31988796219669,18.1,0,11.21988796219669,11.21988796219669,125.88588588424619
11,Alabama,6,29.31988796219669,22.5,0,6.819887962196692,6.819887962196692,46.51087181691534
12,Alaska,3,28.778685203781198,17.4,1,11.378685203781199,11.378685203781199,129.4744769667492
13,Alaska,3,28.778685203781198,16.5,1,12.278685203781198,12.278685203781198,150.7661103335553
14,Alaska,3,28.778685203781198,23.2,1,5.578685203781198,5.578685203781198,31.12172860288727
15,Alaska,4,28.953172410033996,20.4,1,8.553172410033998,8.553172410033998,73.15675827576679
16,Alaska,4,28.953172410033996,20.7,1,8.253172410033997,8.253172410033997,68.11485482974638
17,Alaska,4,28.953172410033996,26.2,1,2.753172410033997,2.753172410033997,7.579958319372408
18,Alaska,5,29.127659616286792,15.8,1,13.327659616286791,13.327659616286791,177.62651084760176
19,Alaska,5,29.127659616286792,17.7,1,11.427659616286792,11.427659616286792,130.591404305712
20,Alaska,5,29.127659616286792,22.7,1,6.4276596162867925,6.4276596162867925,41.31480814284408
21,Alaska,6,29.302146822539587,17.2,1,12.102146822539588,12.102146822539588,146.46195771430504
22,Alaska,6,29.302146822539587,20.0,1,9.302146822539587,9.302146822539587,86.52993550808334
23,Alaska,6,29.302146822539587,24.4,1,4.9021468225395886,4.9021468225395886,24.031043469734986
